1;-58,64;;1;-64,91;;1;-59,02;;1;-59,78;;1;-52,84;;1;-52,01;;1;-54,42;;1;-60,58;;1;-67,65;;1;-58,67;;1;-56,61;;1;-55,15;;1;-66,76;;1;-54,99;;1;-58,87;;1;-55,77;;1;-58,45;;1;-70,36;;1;-61,69
2;-64,86;;2;-77,87;;2;-64,6;;2;-67,21;;2;-54,46;;2;-59,81;;2;-60,03;;2;-52,78;;2;-48,72;;2;-47,79;;2;-47,48;;2;-52,01;;2;-62,48;;2;-57,8;;2;-54,67;;2;-65,56;;2;-66,34;;2;-71,32;;2;-66,23
3;-62,73;;3;-65,67;;3;-62,28;;3;-71,51;;3;-70,78;;3;-64,82;;3;-55,66;;3;-62,23;;3;-51,49;;3;-47,51;;3;-56,4;;3;-58,88;;3;-58,54;;3;-65,6;;3;-64,58;;3;-60,41;;3;-60,97;;3;-65,66;;3;-64,53
4;-62,35;;4;-65,22;;4;-62,57;;4;-71,97;;4;-70,21;;4;-65,07;;4;-55,61;;4;-62,03;;4;-51,29;;4;-47,55;;4;-56,23;;4;-58,98;;4;-58,84;;4;-65,54;;4;-64,68;;4;-60,41;;4;-61,16;;4;-65,63;;4;-64,18
5;-62,34;;5;-65,09;;5;-64,69;;5;-58,96;;5;-57,11;;5;-56,35;;5;-56,96;;5;-52,85;;5;-51,06;;5;-61,13;;5;-49,42;;5;-48,56;;5;-54,09;;5;-53,37;;5;-66,8;;5;-69,95;;5;-65,34;;5;-65,88;;5;-61,74
6;-61,6;;6;-67,47;;6;-63,94;;6;-61,1;;6;-61,59;;6;-54,03;;6;-51,72;;6;-50,97;;6;-49,46;;6;-68,46;;6;-57,81;;6;-50,87;;6;-60,87;;6;-55,01;;6;-59,29;;6;-57,88;;6;-68,86;;6;-61,51;;6;-63,37
7;-65,42;;7;-69,54;;7;-67,75;;7;-70,36;;7;-63,39;;7;-63,15;;7;-61,64;;7;-68,88;;7;-60,85;;7;-56,03;;7;-61,89;;7;-62,44;;7;-62,86;;7;-61,75;;7;-65,01;;7;-62,16;;7;-66,79;;7;-67,72;;7;-68,15
8;-62,92;;8;-71,07;;8;-69,84;;8;-70,4;;8;-60,07;;8;-62,03;;8;-69,08;;8;-57,76;;8;-53,67;;8;-56,45;;8;-52,42;;8;-57,96;;8;-68,15;;8;-60,21;;8;-60,67;;8;-64,19;;8;-69,92;;8;-67,75;;8;-64,66
9;-62,52;;9;-68,89;;9;-65,39;;9;-68,27;;9;-60,28;;9;-62,78;;9;-56,78;;9;-55,88;;9;-56,93;;9;-52,06;;9;-53,82;;9;-53,14;;9;-56,81;;9;-60,39;;9;-55,76;;9;-64,81;;9;-69,06;;9;-68,3;;9;-63,58
10;-62,12;;10;-71,27;;10;-77,79;;10;-77,74;;10;-57,15;;10;-62,25;;10;-54,97;;10;-55,45;;10;-59,96;;10;-51,9;;10;-54,02;;10;-53,76;;10;-59,43;;10;-61,61;;10;-58,85;;10;-62,02;;10;-65,38;;10;-68,31;;10;-64,33
